account,payee,added_timestamp
ACC-G0009,ACC-G0150,2023-11-13T00:00:00
ACC-G0056,ACC-G0059,2023-11-14T00:00:00
ACC-G0051,ACC-G0113,2023-11-15T00:00:00
ACC-G0202,ACC-G0041,2023-11-15T00:00:00
ACC-G0023,ACC-G0158,2023-11-16T00:00:00
ACC-G0182,ACC-G0167,2023-11-17T00:00:00
ACC-G0131,ACC-G0102,2023-11-18T00:00:00
ACC-G0075,ACC-G0174,2023-11-19T00:00:00
ACC-G0067,ACC-G0201,2023-11-20T00:00:00
ACC-G0057,ACC-G0014,2023-11-21T00:00:00
ACC-G0082,ACC-G0202,2023-11-24T00:00:00
ACC-G0003,ACC-G0161,2023-11-25T00:00:00
ACC-G0030,ACC-G0142,2023-11-25T00:00:00
ACC-G0108,ACC-G0180,2023-11-25T00:00:00
ACC-G0027,ACC-G0143,2023-11-26T00:00:00
ACC-G0010,ACC-G0038,2023-11-27T00:00:00
ACC-G0018,ACC-G0152,2023-11-27T00:00:00
ACC-G0080,ACC-G0191,2023-11-27T00:00:00
ACC-G0165,ACC-G0132,2023-11-27T00:00:00
ACC-G0021,ACC-G0157,2023-11-28T00:00:00
ACC-G0105,ACC-G0187,2023-11-30T00:00:00
ACC-G0196,ACC-G0147,2023-12-02T00:00:00
ACC-G0080,ACC-G0051,2023-12-05T00:00:00
ACC-G0122,ACC-G0111,2023-12-06T00:00:00
ACC-G0166,ACC-G0129,2023-12-07T00:00:00
ACC-G0196,ACC-G0027,2023-12-07T00:00:00
ACC-G0091,ACC-G0103,2023-12-08T00:00:00
ACC-F004,ACC-G0036,2023-12-12T00:00:00
ACC-G0130,ACC-G0067,2023-12-13T00:00:00
ACC-G0059,ACC-G0027,2023-12-15T00:00:00
ACC-G0059,ACC-G0184,2023-12-15T00:00:00
ACC-F003,ACC-G0197,2023-12-16T00:00:00
ACC-G0074,ACC-G0019,2023-12-18T00:00:00
ACC-G0035,ACC-G0137,2023-12-19T00:00:00
ACC-G0184,ACC-G0102,2023-12-19T00:00:00
ACC-F002,ACC-G0184,2023-12-20T00:00:00
ACC-G0042,ACC-G0106,2023-12-21T00:00:00
ACC-G0190,ACC-G0107,2023-12-22T00:00:00
ACC-G0201,ACC-G0067,2023-12-23T00:00:00
ACC-G0181,ACC-G0128,2023-12-27T00:00:00
ACC-G0188,ACC-G0017,2023-12-27T00:00:00
ACC-G0021,ACC-G0146,2023-12-28T00:00:00
ACC-G0209,ACC-G0086,2023-12-28T00:00:00
ACC-G0009,ACC-G0080,2023-12-29T00:00:00
ACC-G0048,ACC-G0158,2023-12-29T00:00:00
ACC-G0072,ACC-G0043,2023-12-29T00:00:00
ACC-G0019,ACC-G0119,2023-12-31T00:00:00
ACC-G0054,ACC-G0042,2024-01-01T00:00:00
ACC-G0119,ACC-G0110,2024-01-02T00:00:00
ACC-G0175,ACC-G0067,2024-01-03T00:00:00
ACC-G0102,ACC-G0184,2024-01-05T00:00:00
ACC-G0148,ACC-G0205,2024-01-05T00:00:00
ACC-G0118,ACC-G0141,2024-01-07T00:00:00
ACC-G0123,ACC-G0063,2024-01-08T00:00:00
ACC-G0035,ACC-G0004,2024-01-09T00:00:00
ACC-G0167,ACC-G0198,2024-01-09T00:00:00
ACC-G0066,ACC-G0175,2024-01-10T00:00:00
ACC-G0142,ACC-G0030,2024-01-10T00:00:00
ACC-G0187,ACC-G0112,2024-01-10T00:00:00
ACC-G0039,ACC-G0107,2024-01-15T00:00:00
ACC-F006,ACC-G0124,2024-01-19T00:00:00
ACC-G0061,ACC-G0109,2024-01-20T00:00:00
ACC-G0136,ACC-G0196,2024-01-20T00:00:00
ACC-G0027,ACC-G0196,2024-01-23T00:00:00
ACC-G0144,ACC-G0074,2024-01-23T00:00:00
ACC-G0097,ACC-G0044,2024-01-26T00:00:00
ACC-G0157,ACC-G0075,2024-01-29T00:00:00
ACC-G0020,ACC-G0157,2024-01-30T00:00:00
ACC-G0167,ACC-G0182,2024-02-01T00:00:00
ACC-G0069,ACC-G0014,2024-02-02T00:00:00
ACC-G0123,ACC-G0013,2024-02-03T00:00:00
ACC-G0065,ACC-G0135,2024-02-04T00:00:00
ACC-G0149,ACC-G0150,2024-02-07T00:00:00
ACC-G0006,ACC-G0142,2024-02-09T00:00:00
