session_id,account,device_fingerprint,ip,login_result,timestamp,password_reset_flag
SES000930,ACC-G0140,DFP-BG-0140,10.121.104.84,success,2026-05-01T08:02:18,False
SES000556,ACC-G0081,DFP-BG-0081,10.66.225.94,success,2026-05-01T08:06:18,False
SES001416,ACC-R002,DFP-BG-R002,10.199.241.5,success,2026-05-01T08:09:08,False
SES001165,ACC-G0174,DFP-BG-0174,10.124.129.186,success,2026-05-01T08:10:59,False
SES000610,ACC-G0091,DFP-BG-0091,10.114.145.69,success,2026-05-01T08:23:53,False
SES000374,ACC-G0051,DFP-BG-0051,10.4.51.111,success,2026-05-01T08:42:16,False
SES000242,ACC-G0031,DFP-BG-0031,10.45.54.112,success,2026-05-01T08:59:20,False
SES000058,ACC-G0003,DFP-BG-0003,10.254.162.70,success,2026-05-01T09:14:16,False
SES000032,ACC-F004,DFP-BG-F004,10.101.145.45,success,2026-05-01T09:16:58,False
SES001104,ACC-G0166,DFP-BG-0166,10.128.61.143,success,2026-05-01T09:23:33,False
SES001291,ACC-G0195,DFP-BG-0195,10.132.140.153,success,2026-05-01T09:23:36,False
SES001390,ACC-G0209,DFP-BG-0209,10.93.173.117,success,2026-05-01T09:27:09,False
SES000872,ACC-G0131,DFP-BG-0131,10.218.70.30,success,2026-05-01T09:47:48,False
SES000685,ACC-G0101,DFP-BG-0101,10.35.240.25,success,2026-05-01T09:52:00,False
SES000803,ACC-G0120,DFP-BG-0120,10.247.94.210,success,2026-05-01T09:52:47,False
SES001039,ACC-G0157,DFP-BG-0157,10.212.10.4,success,2026-05-01T10:29:12,False
SES001128,ACC-G0169,DFP-BG-0169,10.162.86.232,success,2026-05-01T10:35:22,False
SES000139,ACC-G0015,DFP-BG-0015,10.85.85.12,success,2026-05-01T11:29:14,False
SES000131,ACC-G0014,DFP-BG-0014,10.17.110.114,success,2026-05-01T12:00:21,False
SES000911,ACC-G0138,DFP-BG-0138,10.6.63.79,success,2026-05-01T12:22:30,False
SES000998,ACC-G0151,DFP-BG-0151,10.67.101.163,success,2026-05-01T12:31:35,False
SES000785,ACC-G0117,DFP-BG-0117,10.14.13.246,success,2026-05-01T12:48:55,False
SES001423,ACC-R003,DFP-BG-R003,10.80.214.45,success,2026-05-01T13:19:25,False
SES000259,ACC-G0033,DFP-BG-0033,10.163.186.205,success,2026-05-01T13:29:20,False
SES000642,ACC-G0095,DFP-BG-0095,10.91.16.31,success,2026-05-01T13:33:32,False
SES000977,ACC-G0148,DFP-BG-0148,10.86.147.241,success,2026-05-01T14:02:57,False
SES000867,ACC-G0130,DFP-BG-0130,10.220.244.78,success,2026-05-01T14:03:24,False
SES000006,ACC-E001,DFP-BG-E001,10.210.119.222,success,2026-05-01T14:04:37,False
SES000457,ACC-G0065,DFP-BG-0065,10.92.144.6,success,2026-05-01T14:24:24,False
SES000151,ACC-G0017,DFP-BG-0017,10.68.170.45,success,2026-05-01T14:57:07,False
SES001389,ACC-G0209,DFP-BG-0209,10.93.173.117,success,2026-05-01T15:24:01,False
SES000701,ACC-G0104,DFP-BG-0104,10.180.124.169,success,2026-05-01T15:29:52,False
SES000216,ACC-G0027,DFP-BG-0027,10.32.175.8,success,2026-05-01T15:50:02,False
SES000795,ACC-G0118,DFP-BG-0118,10.28.138.213,success,2026-05-01T17:39:44,False
SES000441,ACC-G0062,DFP-BG-0062,10.177.188.84,success,2026-05-01T18:14:46,False
SES000798,ACC-G0119,DFP-BG-0119,10.102.58.18,success,2026-05-01T18:28:25,False
SES000864,ACC-G0130,DFP-BG-0130,10.220.244.78,success,2026-05-01T20:01:49,False
SES000326,ACC-G0043,DFP-BG-0043,10.83.214.211,success,2026-05-01T21:15:04,False
SES000351,ACC-G0047,DFP-BG-0047,10.160.46.163,success,2026-05-01T21:27:43,False
SES000525,ACC-G0077,DFP-BG-0077,10.5.158.49,success,2026-05-01T22:48:18,False
SES000524,ACC-G0077,DFP-BG-0077,10.5.158.49,success,2026-05-02T06:05:19,False
SES000010,ACC-E002,DFP-BG-E002,10.215.246.186,success,2026-05-02T06:19:37,False
SES000959,ACC-G0145,DFP-BG-0145,10.150.60.87,success,2026-05-02T07:58:22,False
SES000405,ACC-G0056,DFP-BG-0056,10.137.186.72,success,2026-05-02T09:00:03,False
SES000569,ACC-G0083,DFP-BG-0083,10.240.74.164,success,2026-05-02T09:01:48,False
SES000871,ACC-G0131,DFP-BG-0131,10.218.70.30,success,2026-05-02T09:05:37,False
SES001319,ACC-G0199,DFP-BG-0199,10.32.67.134,success,2026-05-02T09:15:37,False
SES000918,ACC-G0139,DFP-BG-0139,10.116.89.38,success,2026-05-02T09:32:55,False
SES000016,ACC-E002,DFP-BG-E002,10.215.246.186,success,2026-05-02T09:52:53,False
SES001189,ACC-G0178,DFP-BG-0178,10.203.39.166,success,2026-05-02T10:26:11,False
SES001017,ACC-G0154,DFP-BG-0154,10.133.27.69,success,2026-05-02T10:26:14,False
SES001310,ACC-G0198,DFP-BG-0198,10.116.103.94,success,2026-05-02T11:06:21,False
SES000549,ACC-G0080,DFP-BG-0080,10.34.143.148,success,2026-05-02T11:18:25,False
SES001204,ACC-G0180,DFP-BG-0180,10.230.190.200,success,2026-05-02T12:02:07,False
SES001427,ACC-R004,DFP-BG-R004,10.164.14.201,success,2026-05-02T13:48:38,False
SES000128,ACC-G0014,DFP-BG-0014,10.17.110.114,success,2026-05-02T14:03:49,False
SES000913,ACC-G0138,DFP-BG-0138,10.6.63.79,success,2026-05-02T14:05:17,False
SES000474,ACC-G0069,DFP-BG-0069,10.57.251.44,success,2026-05-02T14:11:27,False
SES000063,ACC-G0003,DFP-BG-0003,10.254.162.70,success,2026-05-02T14:21:12,False
SES000523,ACC-G0077,DFP-BG-0077,10.5.158.49,success,2026-05-02T14:50:30,False
SES000933,ACC-G0141,DFP-BG-0141,10.176.110.97,success,2026-05-02T15:09:24,False
SES000436,ACC-G0061,DFP-BG-0061,10.23.121.75,success,2026-05-02T15:15:52,False
SES000389,ACC-G0053,DFP-BG-0053,10.10.64.40,success,2026-05-02T15:21:27,False
SES001077,ACC-G0162,DFP-BG-0162,10.69.84.135,success,2026-05-02T15:38:10,False
SES001107,ACC-G0167,DFP-BG-0167,10.48.188.235,success,2026-05-02T15:41:30,False
SES000497,ACC-G0073,DFP-BG-0073,10.71.150.118,success,2026-05-02T16:07:44,False
SES000209,ACC-G0026,DFP-BG-0026,10.230.108.48,success,2026-05-02T16:51:48,False
SES000672,ACC-G0099,DFP-BG-0099,10.33.197.73,success,2026-05-02T17:31:02,False
SES000969,ACC-G0147,DFP-BG-0147,10.24.218.74,success,2026-05-02T17:47:56,False
SES000838,ACC-G0125,DFP-BG-0125,10.146.115.52,success,2026-05-02T17:57:00,False
SES000125,ACC-G0014,DFP-BG-0014,10.17.110.114,success,2026-05-02T18:51:33,False
SES000160,ACC-G0019,DFP-BG-0019,10.147.12.59,success,2026-05-02T19:42:15,False
SES000799,ACC-G0119,DFP-BG-0119,10.102.58.18,success,2026-05-02T20:19:25,False
SES000341,ACC-G0046,DFP-BG-0046,10.65.132.3,success,2026-05-02T20:40:23,False
SES000658,ACC-G0097,DFP-BG-0097,10.221.228.109,success,2026-05-02T21:16:37,False
SES001350,ACC-G0204,DFP-BG-0204,10.157.217.145,success,2026-05-02T21:22:41,False
SES000874,ACC-G0131,DFP-BG-0131,10.218.70.30,success,2026-05-02T23:00:55,False
SES001273,ACC-G0192,DFP-BG-0192,10.81.125.119,success,2026-05-03T00:02:43,False
SES000621,ACC-G0092,DFP-BG-0092,10.199.88.104,success,2026-05-03T07:27:00,False
SES000293,ACC-G0038,DFP-BG-0038,10.195.140.162,success,2026-05-03T08:41:42,False
SES000955,ACC-G0144,DFP-BG-0144,10.240.51.33,success,2026-05-03T08:55:33,False
SES001125,ACC-G0169,DFP-BG-0169,10.162.86.232,success,2026-05-03T09:02:17,False
SES001477,ACC-V001,DFP-BG-V001,10.200.99.64,success,2026-05-03T09:17:08,False
SES000747,ACC-G0112,DFP-BG-0112,10.220.184.53,success,2026-05-03T09:24:40,False
SES001240,ACC-G0187,DFP-BG-0187,10.40.249.144,success,2026-05-03T09:33:23,False
SES000166,ACC-G0019,DFP-BG-0019,10.147.12.59,success,2026-05-03T09:35:53,False
SES000558,ACC-G0081,DFP-BG-0081,10.66.225.94,success,2026-05-03T09:55:29,False
SES001471,ACC-T002,DFP-BG-T002,10.151.199.231,success,2026-05-03T10:35:42,False
SES000691,ACC-G0102,DFP-BG-0102,10.71.53.83,success,2026-05-03T10:44:39,False
SES000329,ACC-G0043,DFP-BG-0043,10.83.214.211,success,2026-05-03T11:21:49,False
SES000987,ACC-G0149,DFP-BG-0149,10.104.144.242,success,2026-05-03T11:32:21,False
SES001078,ACC-G0162,DFP-BG-0162,10.69.84.135,success,2026-05-03T11:35:56,False
SES001486,ACC-T001,DFP-C4E9-HOME,198.51.100.17,success,2026-05-03T11:40:00,False
SES000018,ACC-F001,DFP-BG-F001,10.27.216.89,success,2026-05-03T11:42:30,False
SES001061,ACC-G0160,DFP-BG-0160,10.255.160.246,success,2026-05-03T11:48:00,False
SES000518,ACC-G0076,DFP-BG-0076,10.39.239.123,success,2026-05-03T11:49:54,False
SES000093,ACC-G0008,DFP-BG-0008,10.35.232.15,success,2026-05-03T11:57:55,False
SES000233,ACC-G0029,DFP-BG-0029,10.211.96.1,success,2026-05-03T11:59:59,False
SES001429,ACC-R005,DFP-BG-R005,10.7.178.230,success,2026-05-03T12:04:07,False
SES001366,ACC-G0206,DFP-BG-0206,10.37.166.251,success,2026-05-03T12:20:36,False
SES000830,ACC-G0124,DFP-BG-0124,10.165.118.252,success,2026-05-03T12:23:38,False
