txn_id,from_account,to_account,amount,timestamp,channel,tag
TXN000198,ACC-G0010,ACC-G0037,3853.15,2026-05-01T00:35:26,ACH,
TXN000728,ACC-G0157,ACC-G0020,9424.19,2026-05-01T05:03:21,Wire,
TXN000985,ACC-G0057,ACC-G0204,1081.25,2026-05-01T06:58:30,ACH,
TXN000558,ACC-G0194,ACC-G0123,1350.3,2026-05-01T08:17:37,ACH,
TXN000805,ACC-G0143,ACC-G0165,9239.1,2026-05-01T08:18:23,Wire,
TXN000176,ACC-G0015,ACC-G0032,303.96,2026-05-01T09:04:06,Credit Card,
TXN000265,ACC-G0060,ACC-G0050,444.22,2026-05-01T09:04:08,Credit Card,
TXN000051,ACC-G0004,ACC-G0189,354.06,2026-05-01T09:13:49,ACH,
TXN000338,ACC-G0084,ACC-G0156,464.39,2026-05-01T09:40:18,Bitcoin,
TXN000045,ACC-G0044,ACC-G0003,460.42,2026-05-01T09:44:48,ACH,
TXN000486,ACC-G0108,ACC-G0140,5545.8,2026-05-01T09:55:58,Cheque,
TXN000313,ACC-F005,ACC-G0079,814.73,2026-05-01T10:14:01,Cash,
TXN000159,ACC-G0040,ACC-G0028,84.09,2026-05-01T10:15:28,Credit Card,
TXN000900,ACC-G0187,ACC-G0112,5344.04,2026-05-01T11:02:41,Credit Card,
TXN000072,ACC-G0034,ACC-G0009,182.25,2026-05-01T11:11:13,Cheque,
TXN000381,ACC-G0197,ACC-G0087,2499.95,2026-05-01T12:13:48,Wire,
TXN000924,ACC-G0121,ACC-G0196,1269.24,2026-05-01T12:20:35,ACH,
TXN000731,ACC-G0157,ACC-G0129,429.03,2026-05-01T12:58:39,ACH,
TXN000511,ACC-G0127,ACC-G0112,1323.67,2026-05-01T13:16:04,Cheque,
TXN000199,ACC-G0010,ACC-G0037,742.17,2026-05-01T13:44:43,Cheque,
TXN000720,ACC-G0157,ACC-G0208,698.55,2026-05-01T13:49:31,Cheque,
TXN000452,ACC-G0103,ACC-G0005,3782.0,2026-05-01T15:39:04,Credit Card,
TXN000396,ACC-G0091,ACC-G0119,1010.33,2026-05-01T15:58:07,Wire,
TXN000880,ACC-G0033,ACC-G0181,2480.08,2026-05-01T16:27:49,Cash,
TXN000680,ACC-G0193,ACC-G0148,4639.31,2026-05-01T16:42:09,Cheque,
TXN000157,ACC-G0008,ACC-G0027,406.53,2026-05-01T16:50:18,Credit Card,
TXN000294,ACC-G0210,ACC-G0072,670.94,2026-05-01T17:24:54,Credit Card,
TXN000128,ACC-G0024,ACC-P001,2671.12,2026-05-01T18:27:08,Cash,
TXN000947,ACC-G0192,ACC-G0197,3708.5,2026-05-01T18:57:33,Credit Card,
TXN000867,ACC-G0180,ACC-G0171,914.51,2026-05-01T20:25:59,Bitcoin,
TXN000619,ACC-G0134,ACC-G0082,6004.61,2026-05-01T20:26:14,Credit Card,
TXN000559,ACC-G0194,ACC-G0123,4115.43,2026-05-01T21:37:50,Credit Card,
TXN000150,ACC-G0143,ACC-G0027,2772.59,2026-05-01T21:59:10,Cheque,
TXN000173,ACC-G0092,ACC-G0032,1231.98,2026-05-01T22:29:43,Credit Card,
TXN000010,ACC-G0112,ACC-F005,2909.52,2026-05-01T22:42:25,ACH,
TXN000823,ACC-G0171,ACC-G0052,674.01,2026-05-01T23:31:43,ACH,
TXN000684,ACC-G0205,ACC-G0148,11918.97,2026-05-02T00:35:52,Bitcoin,
TXN000457,ACC-G0104,ACC-G0108,1897.54,2026-05-02T00:38:25,Cheque,
TXN000321,ACC-G0080,ACC-G0191,2562.93,2026-05-02T04:37:45,Cash,
TXN000757,ACC-G0158,ACC-G0155,1681.57,2026-05-02T06:30:46,Wire,
TXN000561,ACC-G0095,ACC-G0123,1735.67,2026-05-02T06:41:09,Credit Card,
TXN000886,ACC-G0029,ACC-G0183,1187.82,2026-05-02T06:59:15,Cheque,
TXN000666,ACC-G0144,ACC-G0081,13969.15,2026-05-02T07:03:05,Cheque,
TXN000640,ACC-G0168,ACC-G0136,1206.47,2026-05-02T07:19:20,Cheque,
TXN000913,ACC-G0059,ACC-G0191,2365.55,2026-05-02T07:56:45,ACH,
TXN000362,ACC-G0086,ACC-G0148,2114.49,2026-05-02T08:36:49,Bitcoin,
TXN000481,ACC-G0107,ACC-G0120,1370.0,2026-05-02T08:37:10,ACH,
TXN000602,ACC-G0131,ACC-G0084,278.19,2026-05-02T10:03:18,ACH,
TXN000978,ACC-G0106,ACC-G0202,1071.71,2026-05-02T10:06:20,ACH,
TXN000332,ACC-G0122,ACC-G0083,1628.24,2026-05-02T10:20:16,Cash,
TXN000264,ACC-G0050,ACC-G0060,830.86,2026-05-02T11:19:46,Credit Card,
TXN000715,ACC-G0157,ACC-F003,210.1,2026-05-02T11:21:03,ACH,
TXN000504,ACC-G0004,ACC-G0110,1313.61,2026-05-02T11:41:00,Bitcoin,
TXN000330,ACC-G0060,ACC-G0082,237.63,2026-05-02T11:46:26,Bitcoin,
TXN000297,ACC-G0144,ACC-G0074,360.43,2026-05-02T12:08:15,ACH,
TXN000250,ACC-G0059,ACC-G0056,173.97,2026-05-02T12:22:55,Wire,
TXN000966,ACC-G0201,ACC-G0067,803.43,2026-05-02T12:36:19,Credit Card,
TXN000937,ACC-G0069,ACC-G0196,72.96,2026-05-02T13:10:40,ACH,
TXN000410,ACC-G0056,ACC-G0097,701.33,2026-05-02T13:35:41,Cheque,
TXN000288,ACC-G0014,ACC-G0069,630.55,2026-05-02T14:58:45,Credit Card,
TXN000651,ACC-G0139,ACC-G0124,1380.27,2026-05-02T15:30:09,Credit Card,
TXN000352,ACC-G0206,ACC-G0086,2281.95,2026-05-02T16:58:17,Cash,
TXN000175,ACC-G0032,ACC-G0015,4849.91,2026-05-02T17:26:39,Wire,
TXN000314,ACC-F005,ACC-G0079,2758.25,2026-05-02T17:30:33,Cheque,
TXN000732,ACC-G0129,ACC-G0157,1963.16,2026-05-02T19:52:50,ACH,
TXN000587,ACC-G0130,ACC-G0181,158.33,2026-05-02T20:21:22,Cash,
TXN001008,ACC-P001,ACC-G0143,1092.0,2026-05-02T20:24:20,Cash,
TXN000710,ACC-G0157,ACC-G0075,5779.27,2026-05-02T20:42:57,Wire,
TXN000011,ACC-G0112,ACC-F005,574.84,2026-05-02T20:47:31,Wire,
TXN000857,ACC-G0163,ACC-G0178,3928.29,2026-05-02T21:31:50,ACH,
TXN000042,ACC-G0097,ACC-G0003,634.47,2026-05-02T21:38:19,Cheque,
TXN000474,ACC-G0051,ACC-G0107,6637.65,2026-05-02T22:20:06,Credit Card,
TXN000945,ACC-G0032,ACC-G0197,24151.48,2026-05-02T22:45:51,Credit Card,
TXN000833,ACC-G0114,ACC-G0173,1233.98,2026-05-02T23:56:58,ACH,
TXN000319,ACC-G0080,ACC-G0009,746.81,2026-05-03T06:38:14,ACH,
TXN000772,ACC-G0158,ACC-G0199,2591.96,2026-05-03T07:17:07,Credit Card,
TXN000537,ACC-G0102,ACC-G0120,5579.34,2026-05-03T07:39:09,ACH,
TXN000977,ACC-G0202,ACC-G0106,2720.23,2026-05-03T08:26:43,ACH,
TXN000447,ACC-G0091,ACC-G0103,1058.33,2026-05-03T09:40:49,ACH,
TXN001011,ACC-V001,ACC-P001,4200.0,2026-05-03T10:00:00,ACH,victim-history
TXN000070,ACC-G0150,ACC-G0009,134.88,2026-05-03T10:24:41,Wire,
TXN000207,ACC-F005,ACC-G0040,926.02,2026-05-03T10:36:15,Credit Card,
TXN000083,ACC-G0011,ACC-G0001,521.51,2026-05-03T11:01:20,Cash,
TXN000215,ACC-G0106,ACC-G0042,709.55,2026-05-03T11:05:38,Credit Card,
TXN000903,ACC-G0112,ACC-G0187,1993.16,2026-05-03T11:11:15,Bitcoin,
TXN000959,ACC-G0199,ACC-G0028,348.83,2026-05-03T11:33:25,Credit Card,
TXN001080,ACC-T001,ACC-T002,5400.0,2026-05-03T12:00:00,ACH,ato-history
TXN000056,ACC-G0006,ACC-G0005,3774.38,2026-05-03T12:06:15,Cheque,
TXN000061,ACC-G0140,ACC-G0006,766.1,2026-05-03T12:40:19,Wire,
TXN000811,ACC-G0167,ACC-G0205,572.85,2026-05-03T12:48:50,ACH,
TXN000951,ACC-G0197,ACC-F003,928.47,2026-05-03T13:19:33,Cheque,
TXN000672,ACC-G0114,ACC-G0145,663.88,2026-05-03T13:22:30,Cheque,
TXN000643,ACC-G0026,ACC-G0137,1820.87,2026-05-03T13:44:38,Cash,
TXN000592,ACC-G0130,ACC-G0003,748.24,2026-05-03T13:47:03,Cheque,
TXN000289,ACC-G0070,ACC-G0078,1022.7,2026-05-03T14:07:32,Credit Card,
TXN000718,ACC-G0157,ACC-G0168,1191.17,2026-05-03T14:16:49,Cheque,
TXN001005,ACC-G0171,ACC-G0209,1697.14,2026-05-03T15:06:01,Cheque,
TXN000764,ACC-G0008,ACC-G0158,2118.52,2026-05-03T15:21:47,Cash,
TXN000560,ACC-G0123,ACC-G0095,2143.16,2026-05-03T15:21:59,Bitcoin,
TXN000212,ACC-G0002,ACC-G0041,1560.9,2026-05-03T17:18:51,ACH,
TXN001007,ACC-G0082,ACC-G0210,523.81,2026-05-03T17:39:28,Wire,
TXN000641,ACC-G0136,ACC-G0168,408.78,2026-05-03T17:53:35,ACH,
TXN000108,ACC-G0018,ACC-G0152,1203.97,2026-05-03T17:54:20,Credit Card,
TXN000574,ACC-G0201,ACC-G0127,1172.78,2026-05-03T18:04:13,Bitcoin,
TXN000733,ACC-G0021,ACC-G0157,2032.66,2026-05-03T18:06:07,Cheque,
TXN000822,ACC-G0171,ACC-G0052,1914.66,2026-05-03T19:51:30,Cash,
TXN000185,ACC-G0033,ACC-G0160,1173.43,2026-05-03T20:54:23,ACH,
TXN000082,ACC-G0180,ACC-G0010,567.87,2026-05-03T21:14:52,Cheque,
TXN000646,ACC-G0138,ACC-G0140,1002.42,2026-05-04T04:40:50,ACH,
TXN000583,ACC-G0096,ACC-G0130,248.97,2026-05-04T05:22:09,ACH,
TXN000124,ACC-G0023,ACC-G0064,3158.49,2026-05-04T06:24:55,Credit Card,
TXN000704,ACC-G0154,ACC-G0093,361.74,2026-05-04T06:29:25,Cheque,
TXN000920,ACC-G0017,ACC-G0195,2486.96,2026-05-04T08:09:47,Credit Card,
TXN000818,ACC-G0170,ACC-G0124,425.11,2026-05-04T09:22:24,Cheque,
TXN000729,ACC-G0157,ACC-G0020,765.8,2026-05-04T09:41:42,Cheque,
TXN001091,ACC-XF001,ACC-X001,186400.0,2026-05-04T10:00:00,ACH,stealth-in
TXN000863,ACC-G0128,ACC-G0179,2975.15,2026-05-04T10:27:30,Credit Card,
TXN000248,ACC-G0055,ACC-G0003,8472.62,2026-05-04T10:34:52,Reinvestment,
TXN000453,ACC-G0105,ACC-G0103,12947.71,2026-05-04T10:43:19,Credit Card,
TXN000050,ACC-G0004,ACC-G0036,6485.87,2026-05-04T10:43:37,Cheque,
TXN000765,ACC-G0044,ACC-G0158,173.11,2026-05-04T11:29:39,ACH,
TXN000421,ACC-G0029,ACC-G0102,3214.48,2026-05-04T11:38:38,Cash,
TXN000131,ACC-P001,ACC-G0024,948.65,2026-05-04T11:50:21,Credit Card,
TXN000032,ACC-G0161,ACC-G0003,2862.34,2026-05-04T12:14:39,ACH,
TXN000954,ACC-G0178,ACC-G0197,4803.51,2026-05-04T12:36:47,ACH,
TXN000149,ACC-G0143,ACC-G0027,1376.76,2026-05-04T12:45:30,ACH,
TXN000480,ACC-G0107,ACC-G0120,3314.67,2026-05-04T13:30:30,ACH,
TXN000394,ACC-G0090,ACC-G0129,387.17,2026-05-04T13:38:12,Wire,
TXN000933,ACC-G0196,ACC-G0182,6800.51,2026-05-04T14:07:35,ACH,
TXN000586,ACC-F001,ACC-G0130,651.14,2026-05-04T14:19:02,Credit Card,
TXN000068,ACC-G0008,ACC-G0011,4401.8,2026-05-04T14:24:18,ACH,
TXN000963,ACC-G0035,ACC-G0200,4466.16,2026-05-04T14:26:07,ACH,
TXN000508,ACC-G0065,ACC-G0111,1116.55,2026-05-04T14:32:18,Cheque,
TXN000843,ACC-G0140,ACC-G0176,1269.21,2026-05-04T15:13:21,Cheque,
TXN000649,ACC-G0124,ACC-G0139,574.9,2026-05-04T15:21:25,Credit Card,
TXN001002,ACC-G0208,ACC-G0168,2592.31,2026-05-04T15:29:31,Cheque,
TXN000767,ACC-G0158,ACC-G0044,286.78,2026-05-04T15:47:48,Credit Card,
TXN000598,ACC-G0131,ACC-G0038,1352.0,2026-05-04T16:15:39,Cash,
TXN000912,ACC-G0191,ACC-G0059,3964.27,2026-05-04T16:29:11,Wire,
TXN000520,ACC-G0115,ACC-G0122,918.18,2026-05-04T16:29:20,Credit Card,
TXN000031,ACC-G0003,ACC-G0161,2809.08,2026-05-04T16:30:28,Wire,
TXN000953,ACC-G0178,ACC-G0197,1727.68,2026-05-04T16:53:23,ACH,
TXN000785,ACC-G0159,ACC-G0108,190.89,2026-05-04T16:57:02,ACH,
TXN000419,ACC-G0101,ACC-G0095,383.78,2026-05-04T17:28:29,Credit Card,
TXN000831,ACC-G0026,ACC-G0172,2489.33,2026-05-04T17:42:48,Cheque,
TXN000349,ACC-G0046,ACC-G0086,4525.88,2026-05-04T17:55:34,Cash,
TXN000752,ACC-G0158,ACC-G0113,519.15,2026-05-04T18:29:26,ACH,
TXN001093,ACC-XF003,ACC-X002,174900.0,2026-05-04T19:49:00,ACH,stealth-in
TXN000516,ACC-G0046,ACC-G0114,352.56,2026-05-04T20:43:42,Cheque,
TXN000976,ACC-G0082,ACC-G0202,841.92,2026-05-04T22:34:10,ACH,
TXN000110,ACC-G0199,ACC-G0019,902.96,2026-05-04T22:50:08,ACH,
